Код товара;Артикул;Бренд;Коллекция;Установка;Ширина;Высота;Глубина;Материал;Форма;Цвет;Миксер;Стандарт подводки;Режим струи;Диаметр лейки;Термостат;размер верхнего душа;Вес;Режим верхнего душа
202944;E13694-CP;Jacob Delafon;Katalyst;На потолок;305;88;305;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;305;мар.65;empty
214213;E21758-CP;Jacob Delafon;Toobi;На потолок;250;56;250;Пластик;Круглая;Хром;empty;01.фев;empty;empty;Нет;250;empty;empty
204422;26726000;Hansgrohe;Crometta;На потолок;240;60;240;Пластик;Квадратная;Хром;Нет;01.фев;1;empty;Нет;240;1.137;1
204421;26723000;Hansgrohe;Crometta;На потолок;240;60;240;Пластик;Круглая;Хром;Нет;01.фев;1;empty;Нет;240;1.025;1
205338;E13690-CP;Jacob Delafon;Katalyst;На стену / на потолок;305;65;305;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;305;03.июл;empty
202945;E13696-CP;Jacob Delafon;Katalyst;На стену / на потолок;250;65;250;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;250;03.мар;empty
202940;E14568-CP;Jacob Delafon;EO;На стену / на потолок;254;65;254;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;254;01.мар;empty
202939;E14536-CP;Jacob Delafon;EO;На стену / на потолок;203;65;203;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;203;02.июн;empty
228209;ZSOF075NO + ZSOF063NO;Paffoni;Syncro;На стену;220;100;400;Нержавеющая сталь/латунь;Квадратная;Черный матовый;empty;01.фев;empty;empty;Нет;200;02.июн;empty
202244;202244;Aquanet;Classic;На стену;204;145;204;Латунь;Круглая;Золото;empty;01.фев;empty;empty;Нет;204;01.июл;empty
202249;202247;Aquanet;Classic;На стену;150;145;150;Латунь;Круглая;Бронза;empty;01.фев;empty;empty;Нет;150;0.7;empty
228203;ZSOF074BO + ZSOF034BO;Paffoni;Master;На стену;225;100;400;Нержавеющая сталь/латунь;Круглая;Белый матовый;empty;01.фев;empty;empty;Нет;225;02.июн;empty
228204;ZSOF074CR + ZSOF034CR;Paffoni;Master;На стену;225;100;400;Нержавеющая сталь/латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;225;02.июн;empty
228208;ZSOF075CR + ZSOF063CR;Paffoni;Syncro;На стену;220;100;400;Нержавеющая сталь/латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;200;02.июн;empty
228216;ZSOF079CR + ZSOF034CR;Paffoni;Master King;На стену;300;100;400;Нержавеющая сталь/латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;300;02.июн;empty
228218;ZSOF078CR + ZSOF063CR;Paffoni;Syncro King;На стену;300;100;400;Нержавеющая сталь/латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;300;02.июн;empty
206172;E3875-CP;Jacob Delafon;EO;На потолок;280;63;280;Латунь;Квадратная;Хром;empty;01.фев;empty;empty;Нет;280;01.июл;empty
207857;E13689-CP;Jacob Delafon;Katalyst;На стену / на потолок;250;65;250;Латунь;Круглая;Хром;empty;01.фев;empty;empty;Нет;250;empty;empty
